msoa,index-of-transport-accessibility
E02001592,440
E02001593,411
E02001594,333
E02001595,375
E02001596,380
E02001597,325
E02001598,387
E02001599,405
E02001600,375
E02001601,412
E02001602,404
E02001603,370
E02001604,358
E02001605,321
E02001606,299
E02001607,362
E02001608,391
E02001609,326
E02001610,321
E02001611,434
E02001612,460
E02001613,413
E02001614,435
E02001615,406
E02001616,386
E02001617,423
E02001618,301
E02001619,350
E02001620,404
E02001621,360
E02001622,320
E02001623,360
E02001624,408
E02001625,325
E02001626,250
E02001627,269
E02001628,458
E02001629,285
E02001630,319
E02001631,233
E02001632,326
E02001633,152
E02001634,211
E02001635,186
E02001636,229
E02001637,353
E02001638,199
E02001639,193
E02001640,224
E02001642,416
E02001643,168
E02001646,245
E02001647,393
E02001648,185
E02001649,366
E02001650,269
E02001651,142
E02001652,289
E02001653,272
E02001654,316
E02001655,354
E02001656,202
E02001657,191
E02001658,315
E02001659,360
E02001660,224
E02001661,250
E02001662,324
E02001663,211
E02001664,307
E02001665,164
E02001666,326
E02001669,188
E02001670,226
E02001671,320
E02001672,289
E02001673,306
E02001674,191
E02001675,289
E02001676,172
E02001678,110
E02001679,182
E02001680,190
E02001681,139
E02001682,267
E02001683,258
E02001684,323
E02001685,275
E02001686,275
E02001688,319
E02001689,307
E02001690,303
E02001691,306
E02001692,310
E02001693,319
E02001694,319
E02001695,332
E02001696,328
E02001697,315
E02001698,288
E02001699,318
E02001700,319
E02001701,318
E02001702,316
E02001703,251
E02001704,320
E02001705,215
E02001706,330
E02001707,328
E02001708,281
E02001709,263
E02001710,269
E02001711,287
E02001712,248
E02001713,252
E02001714,281
E02001715,273
E02001718,283
E02001719,304
E02001720,272
E02001721,267
E02001722,277
E02001723,275
E02001724,289
E02001725,296
E02001726,268
E02001727,272
E02001728,278
E02001729,269
E02001730,286
E02001731,292
E02001732,284
E02001733,256
E02001734,275
E02001735,239
E02001736,261
E02001737,232
E02001738,223
E02001739,280
E02001740,221
E02001741,256
E02001742,234
E02001743,226
E02001744,272
E02001745,285
E02001746,238
E02001747,257
E02001748,302
E02001749,274
E02001750,279
E02001751,250
E02001752,295
E02001753,244
E02001754,272
E02001755,270
E02001756,237
E02001757,302
E02001758,304
E02001759,286
E02001760,304
E02001761,305
E02001762,297
E02001763,308
E02001764,306
E02001765,309
E02001766,297
E02001767,299
E02001768,281
E02001769,305
E02001770,280
E02001771,277
E02001772,303
E02001773,299
E02001774,331
E02001775,293
E02001776,310
E02001777,308
E02001778,307
E02001779,321
E02001780,299
E02001781,333
E02001782,320
E02001783,316
E02001784,334
E02001785,225
E02001786,302
E02001787,333
E02001788,332
E02001789,298
E02001790,322
E02001791,296
E02001792,294
E02001793,328
E02001794,321
E02001795,315
E02001796,294
E02001797,329
E02001798,329
E02001799,331
E02001800,333
E02001801,316
E02001802,319
E02001803,304
E02001804,325
E02001805,319
E02001806,307
E02001807,337
E02001808,313
E02001809,332
E02001810,333
E02001811,332
E02001812,315
E02001813,321
E02001814,316
E02001815,331
E02001816,322
E02001817,319
E02001818,328
E02001819,328
