msoa,index-of-transport-accessibility
E02001612,2
E02001613,3
E02001614,7
E02001615,13
E02001616,15
E02001617,16
E02001618,6
E02001619,14
E02001620,15
E02001621,15
E02001622,19
E02001623,14
E02001624,14
E02001625,19
E02001626,19
E02001627,24
E02001628,9
E02001629,22
E02001630,22
E02001631,19
E02001632,19
E02001633,13
E02001634,24
E02001635,15
E02001636,27
E02001637,13
E02001638,25
E02001639,23
E02001640,28
E02001642,10
E02001643,19
E02001646,23
E02001647,15
E02001648,21
E02001649,18
E02001650,27
E02001651,12
E02001652,27
E02001653,20
E02001654,13
E02001655,17
E02001656,22
E02001657,21
E02001658,21
E02001659,14
E02001660,24
E02001661,24
E02001662,17
E02001663,24
E02001664,18
E02001665,20
E02001666,11
E02001669,17
E02001670,19
E02001671,12
E02001672,15
E02001673,9
E02001674,18
E02001675,6
E02001676,14
E02001678,5
E02001679,10
E02001680,8
E02001681,6
E02001682,6
E02001683,3
E02001684,15
E02001685,4
E02001686,4
E02001688,14
E02001689,17
E02001690,7
E02001691,19
E02001692,16
E02001693,14
E02001694,10
E02001695,14
E02001696,17
E02001697,16
E02001698,4
E02001699,17
E02001700,8
E02001701,15
E02001702,17
E02001703,2
E02001704,13
E02001705,1
E02001706,10
E02001707,9
E02001708,10
E02001709,10
E02001710,12
E02001711,12
E02001712,19
E02001713,18
E02001714,19
E02001715,19
E02001718,16
E02001719,20
E02001720,17
E02001721,5
E02001722,12
E02001723,19
E02001724,19
E02001725,17
E02001726,14
E02001727,14
E02001728,10
E02001729,18
E02001730,21
E02001731,22
E02001732,12
E02001733,14
E02001734,11
E02001735,11
E02001736,16
E02001737,9
E02001738,10
E02001739,9
E02001740,9
E02001741,4
E02001742,13
E02001743,12
E02001744,12
E02001745,7
E02001746,15
E02001747,13
E02001748,15
E02001749,8
E02001750,15
E02001751,12
E02001752,19
E02001753,12
E02001754,12
E02001755,14
E02001756,15
E02001757,17
E02001758,13
E02001759,13
E02001760,17
E02001761,16
E02001762,18
E02001763,17
E02001764,11
E02001765,15
E02001766,17
E02001767,15
E02001768,10
E02001769,14
E02001770,13
E02001771,11
E02001772,17
E02001773,15
E02001774,18
E02001775,14
E02001776,12
E02001777,8
E02001778,19
E02001779,18
E02001780,16
E02001781,18
E02001782,12
E02001783,17
E02001784,14
E02001785,7
E02001786,17
E02001787,13
E02001788,14
E02001789,17
E02001790,15
E02001791,11
E02001792,10
E02001793,6
E02001794,15
E02001795,14
E02001796,12
E02001797,10
E02001798,9
E02001799,10
E02001800,11
E02001801,18
E02001802,14
E02001803,19
E02001804,13
E02001805,17
E02001806,15
E02001807,7
E02001808,17
E02001809,8
E02001810,9
E02001811,12
E02001812,18
E02001813,16
E02001814,12
E02001815,10
E02001816,15
E02001817,14
E02001818,10
E02001819,14
E02001820,8
E02001821,8
E02001822,7
E02001823,6
E02001824,7
E02001825,4
E02001826,4
E02002183,1
E02002184,1
E02002185,3
E02002186,2
E02002187,5
E02002188,5
E02002189,6
E02002190,6
E02002191,7
E02002192,5
E02002193,8
E02002194,7
E02002195,9
E02002196,5
E02002197,5
E02002198,10
E02002199,13
E02002200,14
E02002201,14
E02002202,17
E02002203,19
E02002204,8
E02002205,4
E02002206,20
E02002207,20
E02002208,17
E02002209,15
E02002210,23
E02002211,18
E02002212,13
E02002213,2
E02002214,21
E02002215,23
E02002216,26
E02002217,24
E02002218,11
E02002219,21
E02002220,19
E02002221,28
E02002222,15
E02002223,26
E02002224,22
E02002225,8
E02002226,23
E02002227,23
E02002228,18
E02002229,16
E02002230,25
E02002231,20
E02002232,19
E02002233,22
E02002234,13
E02002235,20
E02002236,19
E02002237,16
E02002238,17
E02002239,14
E02002240,9
E02002241,14
E02002242,15
E02002243,11
E02002244,6
E02002245,6
E02002246,8
E02002247,2
E02002248,11
E02002249,14
E02002250,2
E02002251,14
E02002252,12
E02002253,12
E02002254,7
E02002255,12
E02002256,2
E02002257,12
E02002258,8
E02002259,13
E02002260,8
E02002261,11
E02002262,6
E02002263,6
E02002264,12
E02002265,2
E02002266,9
E02002267,11
E02002268,8
E02002269,5
E02002270,2
E02002271,8
E02002272,13
E02002273,7
E02002274,13
E02002275,9
E02002276,15
E02002277,16
E02002278,9
E02002279,16
E02002280,16
E02002281,17
E02002282,16
E02002283,15
E02002284,14
E02002285,16
E02002286,17
E02002287,17
E02002288,13
E02002289,18
E02002290,11
E02002291,11
E02002292,9
E02002293,13
E02002294,10
E02002295,11
E02002296,7
E02002297,16
E02002298,6
E02002299,17
E02002300,15
E02002301,19
E02002302,10
E02002303,15
E02002304,18
E02002305,14
E02002306,8
E02002307,13
E02002308,15
E02002309,19
E02002310,13
E02002311,11
E02002312,18
E02002313,18
E02002314,10
E02002315,14
E02002316,6
E02002317,13
E02002318,15
E02002319,6
E02002320,9
E02002321,4
E02002322,2
E02002323,6
E02002324,3
E02002325,4
E02002326,3
E02002327,2
E02002328,4
E02002329,3
E02002330,2
E02002331,2
E02002332,2
E02002333,5
E02002334,1
E02002335,1
E02002336,2
E02002337,7
E02002338,6
E02002339,5
E02002340,6
E02002341,11
E02002342,10
E02002343,8
E02002344,11
E02002345,14
E02002346,9
E02002347,15
E02002348,14
E02002349,18
E02002350,13
E02002351,6
E02002352,19
E02002353,18
E02002354,22
E02002356,16
E02002357,16
E02002358,12
E02002359,3
E02002360,24
E02002361,23
E02002362,20
E02002363,28
E02002364,19
E02002366,25
E02002367,29
E02002368,18
E02002369,23
E02002370,13
E02002371,28
E02002373,24
E02002374,25
E02002375,23
E02002376,28
E02002377,29
E02002379,20
E02002380,21
E02002381,17
E02002382,29
E02002383,24
E02002384,30
E02002385,24
E02002386,14
E02002387,23
E02002388,23
E02002389,23
E02002390,19
E02002391,16
E02002392,29
E02002393,25
E02002394,23
E02002395,20
E02002396,20
E02002397,16
E02002398,14
E02002399,21
E02002400,23
E02002401,18
E02002402,9
E02002403,6
E02002404,24
E02002405,14
E02002406,4
E02002407,20
E02002408,15
E02002409,16
E02002410,24
E02002411,21
E02002412,18
E02002414,20
E02002415,18
E02002416,6
E02002417,4
E02002418,5
E02002419,19
E02002420,17
E02002421,15
E02002422,12
E02002423,13
E02002424,10
E02002425,7
E02002426,4
E02002427,7
E02002428,16
E02002429,7
E02002430,13
E02002431,11
E02002432,3
E02002433,12
E02002434,11
E02002435,12
E02002436,10
E02002437,9
E02002438,5
E02002439,6
E02002440,8
E02002441,7
E02002442,7
E02002443,8
E02002444,7
E02002445,10
E02002446,4
E02002447,3
E02002448,5
E02002449,9
E02002450,5
E02002451,11
E02002452,8
E02002453,4
E02002454,12
E02002455,6
E02002456,11
E02002457,12
E02002458,9
E02002459,13
E02002460,5
E02002461,5
E02002462,9
E02002463,12
E02002464,5
E02002465,12
E02002466,9
E02002467,10
E02002468,9
E02002469,2
E02002470,8
E02002471,3
E02002472,6
E02002473,7
E02002474,6
E02002475,5
E02002476,4
E02002477,4
E02002478,3
E02002479,3
E02002480,4
E02002481,4
E02002482,4
E02002483,7
E02002484,8
E02002485,10
E02002487,10
E02002488,11
E02002489,12
E02002490,11
E02002491,10
E02002492,9
E02002493,6
E02002494,9
E02002496,13
E02002497,15
E02002498,15
E02002499,15
E02002500,15
E02002501,14
E02002502,14
E02002503,15
E02002504,17
E02002505,18
E02002506,19
E02002507,18
E02002508,17
E02002509,20
E02002510,13
E02002512,8
E02002513,10
E02002514,10
E02002515,5
E02002516,5
E02002517,5
E02002518,6
E02002519,6
E02002520,4
E02002521,4
E02002523,7
E02002524,5
E02002525,6
E02002526,4
E02002527,2
E02002529,10
E02002530,3
E02002532,3
E02002533,3
E02002534,3
E02002535,4
E02002536,7
E02002537,6
E02002538,8
E02002539,8
E02002540,13
E02002541,14
E02002542,13
E02002543,12
E02002544,14
E02002545,12
E02002546,14
E02002547,12
E02002548,14
E02002549,8
E02002550,12
E02002551,15
E02002552,14
E02002553,11
E02002554,10
E02002555,2
E02002556,5
E02002557,5
E02002558,2
E02002559,8
E02002560,12
E02002561,8
E02002562,14
E02002563,12
E02002564,11
E02002565,14
E02002566,14
E02002567,13
E02002568,13
E02002569,11
E02002570,13
E02002571,8
E02002572,12
E02002573,1
E02002574,7
E02002575,8
E02002576,8
E02002577,8
E02002578,8
E02002579,8
E02002580,10
E02002581,7
E02002582,6
E02002583,8
E02002584,7
E02002585,6
E02002586,8
E02002587,6
E02002588,8
E02002589,8
E02002590,4
E02002591,3
E02002592,7
E02002593,9
E02002594,5
E02002595,10
E02002596,10
E02002597,11
E02002598,8
E02002599,10
E02002600,15
E02002601,13
E02002602,11
E02002603,9
E02002604,7
E02002605,9
E02002606,14
E02002607,13
E02002608,8
E02002609,13
E02002610,1
E02002611,10
E02002612,8
E02002613,5
E02002614,5
E02002615,9
E02002616,12
E02002617,12
E02002618,12
E02002619,13
E02002620,13
E02002621,12
E02002622,14
E02002623,13
E02002624,8
E02002625,14
E02002626,11
E02002627,12
E02002628,8
E02002629,6
E02002630,6
E02002631,4
E02002632,1
E02002633,9
E02002634,15
E02002635,13
E02002636,15
E02002637,17
E02002638,14
E02002639,16
E02002640,16
E02002641,16
E02002642,17
E02002643,16
E02002644,17
E02002645,14
E02002646,13
E02002647,15
E02002648,14
E02002649,10
E02002650,12
E02002651,11
E02002652,7
E02002653,12
E02002654,13
E02002655,14
E02002656,13
E02002657,14
E02002658,14
E02002659,16
E02002660,10
E02002661,12
E02002662,14
E02002663,18
E02002664,17
E02002665,20
E02002666,19
E02002667,19
E02002668,11
E02002669,19
E02002670,20
E02002671,13
E02002672,8
E02002673,15
E02002674,19
E02002675,16
E02002676,21
E02002677,15
E02002678,17
E02002679,17
E02002680,14
E02002681,16
E02002682,16
E02002684,5
E02002685,5
E02002686,5
E02002687,5
E02002688,5
E02002689,1
E02002691,3
E02002692,1
E02002693,1
E02002694,1
E02002695,1
E02002696,1
E02002697,1
E02002698,1
E02002699,4
E02002700,4
E02002701,1
E02002702,4
E02002703,4
E02002704,1
E02002705,8
E02002706,14
E02002707,1
E02002708,10
E02002709,1
E02002710,15
E02002711,10
E02002712,2
E02002714,1
E02002715,1
E02002716,2
E02002717,9
E02002718,2
E02002719,9
E02002720,3
E02002721,1
E02002722,1
E02002723,3
E02002724,3
E02002725,1
E02002726,1
E02002727,15
E02002728,15
E02002729,10
E02002730,12
E02002731,14
E02002732,4
E02002733,14
E02002734,12
E02002735,12
E02002736,19
E02002737,15
E02002738,10
E02002739,12
E02002740,12
E02002741,18
E02002742,11
E02002743,12
E02002744,12
E02002745,7
E02002746,11
E02002747,9
E02002748,3
E02002749,1
E02002750,1
E02002751,1
E02002752,1
E02002753,5
E02002754,1
E02002755,9
E02002756,10
E02002757,10
E02002758,11
E02002759,1
E02002760,12
E02002761,1
E02002762,11
E02002763,11
E02002764,10
E02002765,12
E02002766,8
E02002767,9
E02002768,1
E02002769,3
E02002770,1
E02002771,1
E02002772,2
E02002773,5
E02002774,4
E02002775,10
E02002776,13
E02002777,11
E02002778,12
E02002779,11
E02002780,14
E02002781,15
E02002782,5
E02002783,12
E02002784,18
E02002785,9
E02002786,11
E02002787,13
E02002788,15
E02002789,7
E02002790,12
E02002791,2
E02002792,12
E02002793,8
E02002794,9
E02002795,2
E02003794,1
E02003795,3
E02003796,9
E02003797,10
E02003798,8
E02003799,7
E02003800,1
E02003801,9
E02003802,12
E02003803,11
E02003804,9
E02003805,5
E02003806,9
E02003807,9
E02003808,4
E02003809,1
E02003810,1
E02003811,2
E02003812,2
E02003813,2
E02003814,2
E02003815,4
E02003816,4
E02003817,4
E02003818,4
E02003819,3
E02003820,3
E02003821,3
E02003822,3
E02003823,3
E02003824,3
E02003825,9
E02003826,11
E02003827,10
E02003828,10
E02003829,11
E02003830,11
E02003831,6
E02003832,12
E02003833,12
E02003834,12
E02003835,11
E02003836,5
E02003837,5
E02003838,6
E02003839,3
E02003840,1
E02003841,3
E02003842,4
E02003843,9
E02003844,3
E02003845,9
E02003846,9
E02003847,9
E02003848,9
E02003849,9
E02003850,9
E02003851,9
E02003852,9
E02003853,3
E02003854,8
E02003855,6
E02003856,10
E02003857,6
E02003858,5
E02003859,3
E02003860,4
E02003861,3
E02003862,5
E02003863,3
E02003864,3
