msoa,index-of-transport-accessibility
E02001742,96
E02001743,88
E02001744,98
E02001745,77
E02001746,78
E02001747,75
E02001748,94
E02001749,77
E02001750,54
E02001751,81
E02001752,72
E02001753,79
E02001754,54
E02001755,87
E02001756,113
E02001757,65
E02001758,80
E02001759,80
E02001760,68
E02001761,96
E02001762,103
E02001763,80
E02001764,100
E02001765,101
E02001766,73
E02001767,87
E02001768,87
E02001769,103
E02001770,80
E02001771,68
E02001772,86
E02001773,70
E02001774,121
E02001775,56
E02001776,103
E02001777,136
E02001778,96
E02001779,126
E02001780,67
E02001781,103
E02001782,110
E02001783,84
E02001784,127
E02001785,59
E02001786,78
E02001787,111
E02001788,100
E02001789,94
E02001790,92
E02001791,101
E02001792,88
E02001793,77
E02001794,70
E02001795,89
E02001796,90
E02001797,98
E02001798,68
E02001799,105
E02001800,89
E02001801,100
E02001802,77
E02001803,118
E02001804,83
E02001805,92
E02001806,78
E02001807,81
E02001808,92
E02001809,87
E02001810,73
E02001811,76
E02001812,75
E02001813,87
E02001814,82
E02001815,65
E02001816,80
E02001817,67
E02001818,66
E02001819,74
E02001820,88
E02001821,52
E02001822,84
E02001823,71
E02001824,76
E02001825,69
E02001826,53
E02002183,11
E02002184,38
E02002185,64
E02002186,25
E02002187,59
E02002188,52
E02002189,23
E02002190,81
E02002191,25
E02002192,51
E02002193,38
E02002194,24
E02002195,48
E02002196,16
E02002197,80
E02002198,74
E02002199,89
E02002200,84
E02002201,77
E02002202,88
E02002203,80
E02002204,53
E02002205,23
E02002206,82
E02002207,115
E02002208,71
E02002209,83
E02002210,78
E02002211,64
E02002212,47
E02002213,22
E02002214,87
E02002215,73
E02002216,105
E02002217,78
E02002218,59
E02002219,86
E02002220,93
E02002221,115
E02002222,78
E02002223,92
E02002224,91
E02002225,44
E02002226,85
E02002227,114
E02002228,100
E02002229,52
E02002230,110
E02002231,67
E02002232,89
E02002233,109
E02002234,79
E02002235,71
E02002236,90
E02002237,70
E02002238,114
E02002239,75
E02002240,57
E02002241,86
E02002242,112
E02002243,109
E02002244,35
E02002245,24
E02002246,81
E02002247,28
E02002248,46
E02002249,56
E02002250,35
E02002251,72
E02002252,25
E02002253,31
