msoa,index-of-transport-accessibility
E02001694,106
E02001695,140
E02001696,140
E02001697,130
E02001698,92
E02001699,138
E02001700,103
E02001701,121
E02001702,135
E02001703,66
E02001704,126
E02001705,38
E02001706,119
E02001707,111
E02001708,90
E02001709,104
E02001710,97
E02001711,83
E02001712,115
E02001713,106
E02001714,119
E02001715,100
E02001718,91
E02001719,121
E02001720,116
E02001721,61
E02001722,82
E02001723,101
E02001724,125
E02001725,124
E02001726,100
E02001727,120
E02001728,76
E02001729,115
E02001730,126
E02001731,121
E02001732,88
E02001733,127
E02001734,95
E02001735,121
E02001736,107
E02001737,118
E02001738,72
E02001739,97
E02001740,75
E02001741,100
E02001742,85
E02001743,74
E02001744,100
E02001745,103
E02001746,82
E02001747,80
E02001748,107
E02001749,108
E02001750,96
E02001751,109
E02001752,107
E02001753,84
E02001754,93
E02001755,113
E02001756,114
E02001757,106
E02001758,116
E02001759,102
E02001760,111
E02001761,115
E02001762,113
E02001763,124
E02001764,111
E02001765,122
E02001766,119
E02001767,116
E02001768,90
E02001769,107
E02001770,99
E02001771,87
E02001772,109
E02001773,99
E02001774,128
E02001775,89
E02001776,130
E02001777,128
E02001778,112
E02001779,116
E02001780,98
E02001781,124
E02001782,131
E02001783,114
E02001784,131
E02001785,68
E02001786,108
E02001787,126
E02001788,122
E02001789,99
E02001790,113
E02001791,87
E02001792,78
E02001793,116
E02001794,97
E02001795,85
E02001796,75
E02001797,124
E02001798,115
E02001799,122
E02001800,122
E02001801,83
E02001802,87
E02001803,74
E02001804,91
E02001805,83
E02001806,67
E02001807,113
E02001808,80
E02001809,111
E02001810,111
E02001811,89
E02001812,76
E02001813,83
E02001814,68
E02001815,103
E02001816,82
E02001817,75
E02001818,69
E02001819,84
E02001820,93
E02001821,71
E02001822,87
E02001823,80
E02001824,81
E02001825,70
E02001826,64
E02002183,27
E02002184,44
E02002185,58
E02002186,27
E02002187,75
E02002188,60
E02002189,48
E02002190,56
E02002191,46
E02002192,80
E02002193,54
E02002194,44
E02002195,97
E02002196,43
E02002197,86
E02002198,100
E02002199,111
E02002200,101
E02002201,123
E02002202,106
E02002203,111
E02002204,93
E02002205,60
E02002206,118
E02002207,114
E02002208,130
E02002209,130
E02002210,127
E02002211,115
E02002212,105
E02002213,79
E02002214,137
E02002215,119
E02002216,130
E02002217,136
E02002218,101
E02002219,121
E02002220,147
E02002221,142
E02002222,106
E02002223,126
E02002224,147
E02002225,98
E02002226,133
E02002227,145
E02002228,152
E02002229,115
E02002230,141
E02002231,122
E02002232,133
E02002233,139
E02002234,156
E02002235,141
E02002236,135
E02002237,127
E02002238,137
E02002239,156
E02002240,102
E02002241,128
E02002242,145
E02002243,142
E02002244,91
E02002245,82
E02002246,117
E02002247,32
E02002248,87
E02002249,92
E02002250,42
E02002251,103
E02002252,74
E02002253,81
E02002254,123
E02002255,88
E02002256,33
E02002257,86
E02002258,137
E02002259,90
E02002260,68
E02002261,95
E02002262,125
E02002263,61
E02002264,89
E02002265,31
E02002266,113
E02002267,105
E02002268,89
E02002269,77
E02002270,57
E02002271,167
E02002272,163
E02002273,148
E02002274,161
E02002275,155
E02002276,147
E02002277,138
E02002278,149
E02002279,156
E02002280,141
E02002281,148
E02002282,143
E02002283,131
E02002284,129
E02002285,144
E02002286,132
E02002287,126
E02002288,111
E02002289,122
E02002290,121
E02002291,121
E02002292,110
E02002293,120
E02002294,106
E02002295,108
E02002296,109
E02002297,93
E02002298,101
E02002299,100
E02002300,78
E02002301,95
E02002302,89
E02002303,80
E02002304,84
E02002305,82
E02002306,63
E02002307,83
E02002308,67
E02002309,77
E02002310,79
E02002311,64
E02002312,80
E02002313,76
E02002314,77
E02002315,65
E02002316,83
E02002317,67
E02002318,70
E02002319,54
E02002320,55
E02002321,73
E02002322,57
E02002323,49
E02002324,68
E02002325,43
E02002326,63
E02002327,58
E02002328,37
E02002329,37
E02002330,27
E02002331,27
E02002332,63
E02002333,81
E02002334,26
E02002335,61
E02002336,103
E02002337,95
E02002338,104
E02002339,108
E02002340,112
E02002341,101
E02002342,118
E02002343,120
E02002344,96
E02002345,117
E02002346,124
E02002347,108
E02002348,127
E02002349,99
E02002350,134
E02002351,84
E02002352,106
E02002353,100
E02002354,112
E02002356,139
E02002357,137
E02002358,86
E02002359,71
E02002360,118
E02002361,102
E02002362,137
E02002363,111
E02002364,92
E02002366,102
E02002367,118
E02002368,143
E02002369,96
E02002370,92
E02002371,115
E02002373,132
E02002374,137
E02002375,151
E02002376,102
E02002377,107
E02002379,97
E02002380,156
E02002381,151
E02002382,107
E02002383,132
E02002384,123
E02002385,138
E02002386,95
E02002387,156
E02002388,156
E02002389,100
E02002390,100
E02002391,153
E02002392,135
E02002393,117
E02002394,107
E02002395,152
E02002396,157
E02002397,159
E02002398,103
E02002399,108
E02002400,154
E02002401,107
E02002402,97
E02002403,82
E02002404,122
E02002405,157
E02002406,74
E02002407,161
E02002408,163
E02002409,164
E02002410,159
E02002411,150
E02002412,166
E02002414,145
E02002415,145
E02002416,98
E02002417,71
E02002418,74
E02002419,151
E02002420,150
E02002421,136
E02002422,157
E02002423,142
E02002424,164
E02002425,172
E02002426,118
E02002427,129
E02002428,142
E02002429,132
E02002430,148
E02002431,153
E02002432,84
E02002433,154
E02002434,136
E02002435,152
E02002436,129
E02002437,135
E02002438,43
E02002439,64
E02002440,48
E02002441,66
E02002442,57
E02002443,113
E02002444,115
E02002445,119
E02002446,78
E02002447,33
E02002448,34
E02002449,41
E02002450,66
E02002451,102
E02002452,49
E02002453,73
E02002454,96
E02002455,44
E02002456,94
E02002457,93
E02002458,103
E02002459,92
E02002460,50
E02002461,66
