msoa,index-of-transport-accessibility
E02001632,325
E02001633,151
E02001634,210
E02001635,185
E02001636,228
E02001637,352
E02001638,198
E02001639,192
E02001640,223
E02001642,415
E02001643,167
E02001646,244
E02001647,392
E02001648,184
E02001649,365
E02001650,268
E02001651,141
E02001652,288
E02001653,271
E02001654,315
E02001655,353
E02001656,201
E02001657,190
E02001658,314
E02001659,359
E02001660,223
E02001661,249
E02001662,323
E02001663,210
E02001664,306
E02001665,163
E02001666,325
E02001669,187
E02001670,225
E02001671,319
E02001672,288
E02001673,305
E02001674,190
E02001675,288
E02001676,171
E02001678,109
E02001679,181
E02001680,189
E02001681,137
E02001682,265
E02001683,257
E02001684,318
E02001685,273
E02001686,273
E02001688,314
E02001689,302
E02001690,300
E02001691,301
E02001692,306
E02001693,314
E02001694,315
E02001695,328
E02001696,323
E02001697,311
E02001698,286
E02001699,313
E02001700,317
E02001701,314
E02001702,314
E02001703,249
E02001704,318
E02001705,214
E02001706,328
E02001707,326
E02001708,276
E02001709,258
E02001710,264
E02001711,283
E02001712,243
E02001713,247
E02001714,276
E02001715,268
E02001718,279
E02001719,299
E02001720,267
E02001721,264
E02001722,273
E02001723,270
E02001724,284
E02001725,291
E02001726,263
E02001727,267
E02001728,275
E02001729,264
E02001730,281
E02001731,286
E02001732,280
E02001733,251
E02001734,271
E02001735,234
E02001736,256
E02001737,227
E02001738,219
E02001739,276
E02001740,217
E02001741,251
E02001742,230
E02001743,222
E02001744,268
E02001745,282
E02001746,234
E02001747,253
E02001748,298
E02001749,269
E02001750,275
E02001751,245
E02001752,291
E02001753,240
E02001754,268
E02001755,265
E02001756,232
E02001757,298
E02001758,299
E02001759,282
E02001760,300
E02001761,300
E02001762,292
E02001763,303
E02001764,302
E02001765,304
E02001766,292
E02001767,294
E02001768,278
E02001769,301
E02001770,277
E02001771,274
E02001772,299
E02001773,296
E02001774,326
E02001775,290
E02001776,305
E02001777,303
E02001778,303
E02001779,316
E02001780,296
E02001781,328
E02001782,315
E02001783,312
E02001784,329
E02001785,225
E02001786,299
E02001787,328
E02001788,327
E02001789,295
E02001790,319
E02001791,296
E02001792,294
E02001793,325
E02001794,321
E02001795,315
E02001796,294
E02001797,327
E02001798,327
E02001799,329
E02001800,331
E02001801,316
E02001802,319
E02001803,304
E02001804,325
E02001805,319
E02001806,307
E02001807,335
E02001808,313
E02001809,330
E02001810,331
E02001811,332
E02001812,315
E02001813,321
E02001814,316
E02001815,330
E02001816,322
E02001817,319
E02001818,327
E02001819,328
E02001820,330
E02001821,326
E02001822,328
E02001823,326
E02001824,330
E02001825,325
E02001826,326
E02002183,149
E02002184,164
E02002185,181
E02002186,166
E02002187,180
E02002188,175
E02002189,171
E02002190,207
E02002191,164
E02002192,191
E02002193,161
E02002194,158
E02002195,204
E02002196,169
E02002197,230
E02002198,220
E02002199,272
E02002200,244
E02002201,292
E02002202,268
E02002203,292
E02002204,221
E02002205,189
E02002206,322
E02002207,324
E02002208,330
E02002209,302
E02002210,387
E02002211,331
E02002212,296
E02002213,205
E02002214,355
E02002215,377
E02002216,372
E02002217,398
E02002218,301
E02002219,406
E02002220,435
E02002221,501
E02002222,349
E02002223,429
E02002224,464
E02002225,272
E02002226,551
E02002227,689
E02002228,567
E02002229,400
E02002230,674
E02002231,491
E02002232,607
E02002233,716
E02002234,604
E02002235,800
E02002236,653
E02002237,531
E02002238,768
E02002239,732
E02002240,355
E02002241,630
E02002242,767
E02002243,807
E02002244,286
E02002245,287
E02002246,546
E02002247,184
E02002248,334
E02002249,376
E02002250,303
E02002251,460
E02002252,334
E02002253,352
E02002254,693
E02002255,413
E02002256,129
E02002257,421
E02002258,728
E02002259,498
E02002260,493
E02002261,636
E02002262,738
E02002263,537
E02002264,615
E02002265,130
E02002266,746
E02002267,835
E02002268,832
E02002269,689
E02002270,798
E02002271,758
E02002272,777
E02002273,938
E02002274,691
E02002275,779
E02002276,642
E02002277,615
E02002278,737
E02002279,601
E02002280,556
E02002281,546
E02002282,510
E02002283,534
E02002284,622
E02002285,622
E02002286,501
E02002287,492
E02002288,582
E02002289,490
E02002290,616
E02002291,707
E02002292,703
E02002293,520
E02002294,450
E02002295,633
E02002296,667
E02002297,862
E02002298,503
E02002299,682
E02002300,904
E02002301,792
E02002302,660
E02002303,815
E02002304,746
E02002305,482
E02002306,734
E02002307,549
E02002308,837
E02002309,651
E02002310,497
E02002311,712
E02002312,482
E02002313,561
E02002314,447
E02002315,593
E02002316,494
E02002317,524
E02002318,427
E02002319,470
E02002320,425
E02002321,420
E02002322,355
E02002323,327
E02002324,368
E02002325,335
E02002326,345
E02002327,362
E02002328,354
E02002329,336
E02002330,506
E02002331,531
E02002332,215
E02002333,225
E02002334,528
E02002335,419
E02002336,241
E02002337,187
E02002338,196
E02002339,238
E02002340,271
E02002341,286
E02002342,252
E02002343,267
E02002344,313
E02002345,301
E02002346,249
E02002347,320
E02002348,277
E02002349,330
E02002350,297
E02002351,406
E02002352,351
E02002353,316
E02002354,395
E02002356,337
E02002357,294
E02002358,391
E02002359,452
E02002360,356
E02002361,371
E02002362,307
E02002363,417
E02002364,398
E02002366,387
E02002367,450
E02002368,405
E02002369,375
E02002370,428
E02002371,497
E02002373,384
E02002374,399
E02002375,390
E02002376,416
E02002377,461
E02002379,441
E02002380,363
